epoch,client_id,scoreA_count,scoreA_precision,scoreA_recall,scoreA_false_clean,scoreA_missed_clean,true_clean_count,total_count
110,41,240,0.970833,0.970833,7,7,240,400
110,55,249,0.951807,0.987500,12,3,240,400
110,90,234,0.970085,0.945833,7,13,240,400
110,35,235,0.974468,0.954167,6,11,240,400
110,1,234,0.965812,0.941667,8,14,240,400
110,8,240,0.987500,0.987500,3,3,240,400
110,50,252,0.888889,0.933333,28,16,240,400
111,42,241,0.970954,0.975000,7,6,240,400
111,73,242,0.979339,0.987500,5,3,240,400
111,62,240,0.983333,0.983333,4,4,240,400
111,4,241,0.991701,0.995833,2,1,240,400
111,16,241,0.962656,0.966667,9,8,240,400
111,27,271,0.845018,0.954167,42,11,240,400
111,21,224,0.919643,0.858333,18,34,240,400
111,61,251,0.936255,0.979167,16,5,240,400
111,22,244,0.922131,0.937500,19,15,240,400
111,25,234,0.978632,0.954167,5,11,240,400
112,47,241,0.979253,0.983333,5,4,240,400
112,35,245,0.963265,0.983333,9,4,240,400
112,99,251,0.940239,0.983333,15,4,240,400
112,9,240,1.000000,1.000000,0,0,240,400
112,27,221,0.945701,0.870833,12,31,240,400
112,12,240,0.937500,0.937500,15,15,240,400
112,30,265,0.833962,0.920833,44,19,240,400
112,11,242,0.954545,0.962500,11,9,240,400
112,13,239,0.995816,0.991667,1,2,240,400
112,37,237,0.978903,0.966667,5,8,240,400
113,69,261,0.881226,0.958333,31,10,240,400
113,87,245,0.963265,0.983333,9,4,240,400
113,23,244,0.971311,0.987500,7,3,240,400
113,88,240,0.970833,0.970833,7,7,240,400
113,60,240,1.000000,1.000000,0,0,240,400
113,94,246,0.971545,0.995833,7,1,240,400
113,6,234,0.987179,0.962500,3,9,240,400
113,65,214,0.934579,0.833333,14,40,240,400
113,7,285,0.810526,0.962500,54,9,240,400
113,24,244,0.946721,0.962500,13,9,240,400
114,8,239,0.991632,0.987500,2,3,240,400
114,38,243,0.967078,0.979167,8,5,240,400
114,34,232,0.918103,0.887500,19,27,240,400
114,26,245,0.959184,0.979167,10,5,240,400
114,36,263,0.897338,0.983333,27,4,240,400
114,61,240,1.000000,1.000000,0,0,240,400
114,13,240,0.991667,0.991667,2,2,240,400
114,63,237,0.966245,0.954167,8,11,240,400
114,11,246,0.959350,0.983333,10,4,240,400
114,28,249,0.899598,0.933333,25,16,240,400
115,24,250,0.948000,0.987500,13,3,240,400
115,34,242,0.950413,0.958333,12,10,240,400
115,85,243,0.975309,0.987500,6,3,240,400
115,62,240,0.983333,0.983333,4,4,240,400
115,73,243,0.979424,0.991667,5,2,240,400
115,88,240,1.000000,1.000000,0,0,240,400
115,41,242,0.975207,0.983333,6,4,240,400
115,94,248,0.967742,1.000000,8,0,240,400
115,15,237,0.953586,0.941667,11,14,240,400
115,77,238,0.920168,0.912500,19,21,240,400
116,47,241,0.979253,0.983333,5,4,240,400
116,59,242,0.975207,0.983333,6,4,240,400
116,43,275,0.832727,0.954167,46,11,240,400
116,33,250,0.840000,0.875000,40,30,240,400
116,4,242,0.987603,0.995833,3,1,240,400
116,99,226,0.960177,0.904167,9,23,240,400
116,61,240,1.000000,1.000000,0,0,240,400
116,27,255,0.933333,0.991667,17,2,240,400
116,12,249,0.959839,0.995833,10,1,240,400
116,57,245,0.959184,0.979167,10,5,240,400
117,73,241,0.979253,0.983333,5,4,240,400
117,31,235,0.982979,0.962500,4,9,240,400
117,29,240,1.000000,1.000000,0,0,240,400
117,19,237,0.987342,0.975000,3,6,240,400
117,26,229,0.965066,0.920833,8,19,240,400
117,15,250,0.948000,0.987500,13,3,240,400
117,44,245,0.975510,0.995833,6,1,240,400
117,0,240,1.000000,1.000000,0,0,240,400
117,48,242,0.950413,0.958333,12,10,240,400
117,94,245,0.967347,0.987500,8,3,240,400
118,6,235,0.991489,0.970833,2,7,240,400
118,32,252,0.908730,0.954167,23,11,240,400
118,24,249,0.951807,0.987500,12,3,240,400
118,89,232,0.905172,0.875000,22,30,240,400
118,52,219,0.972603,0.887500,6,27,240,400
118,1,235,0.991489,0.970833,2,7,240,400
118,45,229,0.903930,0.862500,22,33,240,400
118,99,193,0.958549,0.770833,8,55,240,400
118,17,259,0.849421,0.916667,39,20,240,400
118,31,239,0.979079,0.975000,5,6,240,400
119,97,254,0.937008,0.991667,16,2,240,400
119,36,242,0.983471,0.991667,4,2,240,400
119,64,240,1.000000,1.000000,0,0,240,400
119,81,255,0.909804,0.966667,23,8,240,400
119,82,238,0.974790,0.966667,6,8,240,400
119,68,241,0.979253,0.983333,5,4,240,400
119,59,242,0.979339,0.987500,5,3,240,400
119,61,240,1.000000,1.000000,0,0,240,400
119,17,246,0.939024,0.962500,15,9,240,400
119,25,238,0.983193,0.975000,4,6,240,400
120,12,251,0.952191,0.995833,12,1,240,400
120,47,244,0.971311,0.987500,7,3,240,400
120,2,245,0.942857,0.962500,14,9,240,400
120,38,246,0.975610,1.000000,6,0,240,400
120,88,240,1.000000,1.000000,0,0,240,400
120,5,238,0.983193,0.975000,4,6,240,400
120,92,233,0.957082,0.929167,10,17,240,400
120,71,244,0.959016,0.975000,10,6,240,400
120,7,242,0.975207,0.983333,6,4,240,400
120,74,240,1.000000,1.000000,0,0,240,400
121,66,242,0.979339,0.987500,5,3,240,400
121,80,240,1.000000,1.000000,0,0,240,400
121,92,242,0.983471,0.991667,4,2,240,400
121,51,244,0.950820,0.966667,12,8,240,400
121,46,239,0.983264,0.979167,4,5,240,400
121,56,242,0.971074,0.979167,7,5,240,400
121,21,211,0.943128,0.829167,12,41,240,400
121,55,250,0.960000,1.000000,10,0,240,400
121,26,246,0.963415,0.987500,9,3,240,400
121,7,240,0.983333,0.983333,4,4,240,400
122,94,244,0.975410,0.991667,6,2,240,400
122,15,251,0.944223,0.987500,14,3,240,400
122,34,244,0.950820,0.966667,12,8,240,400
122,4,242,0.987603,0.995833,3,1,240,400
122,43,244,0.959016,0.975000,10,6,240,400
122,79,245,0.865306,0.883333,33,28,240,400
122,39,250,0.956000,0.995833,11,1,240,400
122,96,241,0.954357,0.958333,11,10,240,400
122,84,245,0.979592,1.000000,5,0,240,400
122,56,249,0.959839,0.995833,10,1,240,400
123,84,242,0.987603,0.995833,3,1,240,400
123,60,240,1.000000,1.000000,0,0,240,400
123,5,237,0.983122,0.970833,4,7,240,400
123,17,248,0.951613,0.983333,12,4,240,400
123,32,247,0.963563,0.991667,9,2,240,400
123,45,238,0.957983,0.950000,10,12,240,400
123,21,244,0.946721,0.962500,13,9,240,400
123,10,242,0.966942,0.975000,8,6,240,400
123,51,129,0.914729,0.491667,11,122,240,400
123,0,240,1.000000,1.000000,0,0,240,400
124,8,237,0.995781,0.983333,1,4,240,400
124,69,258,0.930233,1.000000,18,0,240,400
124,19,230,0.982609,0.941667,4,14,240,400
124,88,240,1.000000,1.000000,0,0,240,400
124,25,235,0.987234,0.966667,3,8,240,400
124,93,242,0.971074,0.979167,7,5,240,400
124,13,240,0.995833,0.995833,1,1,240,400
124,71,242,0.975207,0.983333,6,4,240,400
124,94,242,0.979339,0.987500,5,3,240,400
124,91,251,0.932271,0.975000,17,6,240,400
125,66,238,0.991597,0.983333,2,4,240,400
125,48,247,0.963563,0.991667,9,2,240,400
125,85,241,0.979253,0.983333,5,4,240,400
125,61,240,1.000000,1.000000,0,0,240,400
125,93,237,0.991561,0.979167,2,5,240,400
125,56,246,0.971545,0.995833,7,1,240,400
125,87,259,0.922780,0.995833,20,1,240,400
125,86,252,0.916667,0.962500,21,9,240,400
125,10,238,0.966387,0.958333,8,10,240,400
125,80,240,1.000000,1.000000,0,0,240,400
126,46,240,0.987500,0.987500,3,3,240,400
126,81,228,0.978070,0.929167,5,17,240,400
126,51,136,0.911765,0.516667,12,116,240,400
126,93,239,0.991632,0.987500,2,3,240,400
126,20,247,0.951417,0.979167,12,5,240,400
126,19,222,0.981982,0.908333,4,22,240,400
126,54,242,0.983471,0.991667,4,2,240,400
126,9,240,1.000000,1.000000,0,0,240,400
126,23,245,0.971429,0.991667,7,2,240,400
126,4,242,0.987603,0.995833,3,1,240,400
127,95,240,0.962500,0.962500,9,9,240,400
127,75,231,0.995671,0.958333,1,10,240,400
127,25,238,0.983193,0.975000,4,6,240,400
127,96,240,0.987500,0.987500,3,3,240,400
127,78,263,0.855513,0.937500,38,15,240,400
127,14,272,0.867647,0.983333,36,4,240,400
127,23,243,0.975309,0.987500,6,3,240,400
127,70,237,0.987342,0.975000,3,6,240,400
127,32,238,0.983193,0.975000,4,6,240,400
127,9,240,1.000000,1.000000,0,0,240,400
128,32,234,0.982906,0.958333,4,10,240,400
128,9,240,1.000000,1.000000,0,0,240,400
128,19,244,0.959016,0.975000,10,6,240,400
128,13,238,0.995798,0.987500,1,3,240,400
128,56,243,0.975309,0.987500,6,3,240,400
128,59,241,0.979253,0.983333,5,4,240,400
128,68,240,0.979167,0.979167,5,5,240,400
128,79,244,0.971311,0.987500,7,3,240,400
128,39,236,0.957627,0.941667,10,14,240,400
128,36,242,0.983471,0.991667,4,2,240,400
129,6,237,0.991561,0.979167,2,5,240,400
129,67,245,0.967347,0.987500,8,3,240,400
129,82,235,0.982979,0.962500,4,9,240,400
129,31,239,0.979079,0.975000,5,6,240,400
129,54,243,0.983539,0.995833,4,1,240,400
129,22,236,0.940678,0.925000,14,18,240,400
129,78,259,0.922780,0.995833,20,1,240,400
129,64,240,1.000000,1.000000,0,0,240,400
129,14,239,0.991632,0.987500,2,3,240,400
129,90,238,0.995798,0.987500,1,3,240,400
130,18,244,0.930328,0.945833,17,13,240,400
130,49,231,0.930736,0.895833,16,25,240,400
130,94,239,0.987448,0.983333,3,4,240,400
130,22,248,0.951613,0.983333,12,4,240,400
130,7,240,0.983333,0.983333,4,4,240,400
130,40,273,0.813187,0.925000,51,18,240,400
130,82,239,0.983264,0.979167,4,5,240,400
130,75,235,0.995745,0.975000,1,6,240,400
130,46,239,0.991632,0.987500,2,3,240,400
130,84,238,0.991597,0.983333,2,4,240,400
131,20,251,0.956175,1.000000,11,0,240,400
131,26,242,0.979339,0.987500,5,3,240,400
131,54,243,0.983539,0.995833,4,1,240,400
131,53,238,0.983193,0.975000,4,6,240,400
131,71,240,0.975000,0.975000,6,6,240,400
131,75,233,0.995708,0.966667,1,8,240,400
131,95,244,0.967213,0.983333,8,4,240,400
131,94,243,0.983539,0.995833,4,1,240,400
131,2,240,1.000000,1.000000,0,0,240,400
131,7,241,0.983402,0.987500,4,3,240,400
132,19,244,0.959016,0.975000,10,6,240,400
132,61,240,1.000000,1.000000,0,0,240,400
132,66,241,0.987552,0.991667,3,2,240,400
132,62,242,0.983471,0.991667,4,2,240,400
132,29,240,1.000000,1.000000,0,0,240,400
132,17,242,0.950413,0.958333,12,10,240,400
132,52,237,0.995781,0.983333,1,4,240,400
132,93,237,0.995781,0.983333,1,4,240,400
132,77,248,0.959677,0.991667,10,2,240,400
132,83,239,0.970711,0.966667,7,8,240,400
133,99,243,0.946502,0.958333,13,10,240,400
133,64,240,1.000000,1.000000,0,0,240,400
133,85,243,0.979424,0.991667,5,2,240,400
133,2,240,1.000000,1.000000,0,0,240,400
133,98,238,0.966387,0.958333,8,10,240,400
133,5,238,0.983193,0.975000,4,6,240,400
133,92,240,0.991667,0.991667,2,2,240,400
133,24,243,0.950617,0.962500,12,9,240,400
133,22,245,0.967347,0.987500,8,3,240,400
133,66,242,0.983471,0.991667,4,2,240,400
134,39,242,0.958678,0.966667,10,8,240,400
134,98,231,0.978355,0.941667,5,14,240,400
134,99,188,0.957447,0.750000,8,60,240,400
134,31,236,0.983051,0.966667,4,8,240,400
134,80,240,1.000000,1.000000,0,0,240,400
134,91,250,0.928000,0.966667,18,8,240,400
134,94,237,0.983122,0.970833,4,7,240,400
134,67,238,0.983193,0.975000,4,6,240,400
134,64,240,1.000000,1.000000,0,0,240,400
134,52,240,0.995833,0.995833,1,1,240,400
135,0,240,1.000000,1.000000,0,0,240,400
135,42,241,0.975104,0.979167,6,5,240,400
135,68,236,0.987288,0.970833,3,7,240,400
135,29,240,1.000000,1.000000,0,0,240,400
135,55,229,0.956332,0.912500,10,21,240,400
135,81,224,0.982143,0.916667,4,20,240,400
135,64,240,1.000000,1.000000,0,0,240,400
135,84,235,0.987234,0.966667,3,8,240,400
135,3,224,0.946429,0.883333,12,28,240,400
135,59,242,0.979339,0.987500,5,3,240,400
136,68,235,0.982979,0.962500,4,9,240,400
136,44,240,0.975000,0.975000,6,6,240,400
136,64,240,1.000000,1.000000,0,0,240,400
136,95,242,0.962810,0.970833,9,7,240,400
136,75,232,0.995690,0.962500,1,9,240,400
136,30,233,0.961373,0.933333,9,16,240,400
136,93,239,0.995816,0.991667,1,2,240,400
136,31,237,0.983122,0.970833,4,7,240,400
136,37,242,0.975207,0.983333,6,4,240,400
136,66,238,0.991597,0.983333,2,4,240,400
137,92,240,0.987500,0.987500,3,3,240,400
137,84,238,0.987395,0.979167,3,5,240,400
137,87,253,0.932806,0.983333,17,4,240,400
137,14,235,0.995745,0.975000,1,6,240,400
137,76,242,0.983471,0.991667,4,2,240,400
137,1,239,0.991632,0.987500,2,3,240,400
137,62,242,0.983471,0.991667,4,2,240,400
137,71,242,0.979339,0.987500,5,3,240,400
137,58,249,0.955823,0.991667,11,2,240,400
137,54,243,0.983539,0.995833,4,1,240,400
138,90,239,0.991632,0.987500,2,3,240,400
138,12,242,0.954545,0.962500,11,9,240,400
138,20,245,0.975510,0.995833,6,1,240,400
138,86,232,1.000000,0.966667,0,8,240,400
138,2,240,1.000000,1.000000,0,0,240,400
138,94,241,0.983402,0.987500,4,3,240,400
138,49,227,0.977974,0.925000,5,18,240,400
138,92,242,0.983471,0.991667,4,2,240,400
138,36,238,0.987395,0.979167,3,5,240,400
138,67,241,0.983402,0.987500,4,3,240,400
139,99,241,0.954357,0.958333,11,10,240,400
139,12,243,0.971193,0.983333,7,4,240,400
139,94,238,0.987395,0.979167,3,5,240,400
139,49,240,0.970833,0.970833,7,7,240,400
139,0,240,1.000000,1.000000,0,0,240,400
139,6,237,0.991561,0.979167,2,5,240,400
139,90,238,0.995798,0.987500,1,3,240,400
139,66,240,0.987500,0.987500,3,3,240,400
139,27,252,0.940476,0.987500,15,3,240,400
139,97,253,0.928854,0.979167,18,5,240,400
140,66,238,0.995798,0.987500,1,3,240,400
140,18,237,0.983122,0.970833,4,7,240,400
140,17,246,0.959350,0.983333,10,4,240,400
140,22,241,0.962656,0.966667,9,8,240,400
140,89,242,0.966942,0.975000,8,6,240,400
140,72,253,0.944664,0.995833,14,1,240,400
140,24,248,0.943548,0.975000,14,6,240,400
140,39,246,0.959350,0.983333,10,4,240,400
140,3,237,1.000000,0.987500,0,3,240,400
140,91,256,0.929688,0.991667,18,2,240,400
141,78,236,0.940678,0.925000,14,18,240,400
141,56,245,0.975510,0.995833,6,1,240,400
141,19,231,0.982684,0.945833,4,13,240,400
141,57,247,0.951417,0.979167,12,5,240,400
141,31,239,0.983264,0.979167,4,5,240,400
141,39,244,0.967213,0.983333,8,4,240,400
141,99,242,0.966942,0.975000,8,6,240,400
141,81,225,0.982222,0.920833,4,19,240,400
141,91,248,0.947581,0.979167,13,5,240,400
141,71,241,0.983402,0.987500,4,3,240,400
142,7,240,0.983333,0.983333,4,4,240,400
142,39,247,0.963563,0.991667,9,2,240,400
142,29,240,1.000000,1.000000,0,0,240,400
142,70,242,0.983471,0.991667,4,2,240,400
142,50,256,0.914062,0.975000,22,6,240,400
142,4,240,0.991667,0.991667,2,2,240,400
142,76,240,0.995833,0.995833,1,1,240,400
142,37,240,0.975000,0.975000,6,6,240,400
142,51,126,0.904762,0.475000,12,126,240,400
142,14,237,0.995781,0.983333,1,4,240,400
143,67,238,0.987395,0.979167,3,5,240,400
143,94,240,0.987500,0.987500,3,3,240,400
143,60,240,1.000000,1.000000,0,0,240,400
143,76,240,0.991667,0.991667,2,2,240,400
143,36,238,0.987395,0.979167,3,5,240,400
143,42,227,0.986784,0.933333,3,16,240,400
143,84,234,0.995726,0.970833,1,7,240,400
143,53,241,0.983402,0.987500,4,3,240,400
143,75,234,0.995726,0.970833,1,7,240,400
143,34,244,0.946721,0.962500,13,9,240,400
144,30,250,0.960000,1.000000,10,0,240,400
144,59,239,0.983264,0.979167,4,5,240,400
144,38,249,0.963855,1.000000,9,0,240,400
144,81,227,0.982379,0.929167,4,17,240,400
144,68,237,0.987342,0.975000,3,6,240,400
144,42,234,0.991453,0.966667,2,8,240,400
144,86,233,1.000000,0.970833,0,7,240,400
144,85,242,0.983471,0.991667,4,2,240,400
144,11,241,0.954357,0.958333,11,10,240,400
144,93,240,0.995833,0.995833,1,1,240,400
145,86,235,1.000000,0.979167,0,5,240,400
145,49,238,0.974790,0.966667,6,8,240,400
145,14,237,0.991561,0.979167,2,5,240,400
145,65,248,0.939516,0.970833,15,7,240,400
145,0,240,1.000000,1.000000,0,0,240,400
145,15,224,0.950893,0.887500,11,27,240,400
145,9,241,0.995851,1.000000,1,0,240,400
145,68,239,0.983264,0.979167,4,5,240,400
145,34,243,0.954733,0.966667,11,8,240,400
145,64,240,1.000000,1.000000,0,0,240,400
146,82,238,0.983193,0.975000,4,6,240,400
146,9,240,1.000000,1.000000,0,0,240,400
146,38,245,0.971429,0.991667,7,2,240,400
146,95,244,0.963115,0.979167,9,5,240,400
146,12,242,0.979339,0.987500,5,3,240,400
146,71,240,0.991667,0.991667,2,2,240,400
146,88,240,1.000000,1.000000,0,0,240,400
146,51,126,0.904762,0.475000,12,126,240,400
146,56,243,0.979424,0.991667,5,2,240,400
146,29,240,1.000000,1.000000,0,0,240,400
147,12,241,0.970954,0.975000,7,6,240,400
147,57,156,0.948718,0.616667,8,92,240,400
147,63,243,0.962963,0.975000,9,6,240,400
147,98,234,0.974359,0.950000,6,12,240,400
147,9,240,1.000000,1.000000,0,0,240,400
147,46,239,0.991632,0.987500,2,3,240,400
147,26,248,0.959677,0.991667,10,2,240,400
147,96,241,0.987552,0.991667,3,2,240,400
147,25,238,0.987395,0.979167,3,5,240,400
147,42,240,0.987500,0.987500,3,3,240,400
148,68,236,0.987288,0.970833,3,7,240,400
148,27,195,0.948718,0.770833,10,55,240,400
148,69,255,0.929412,0.987500,18,3,240,400
148,41,230,0.982609,0.941667,4,14,240,400
148,49,245,0.963265,0.983333,9,4,240,400
148,47,244,0.967213,0.983333,8,4,240,400
148,78,260,0.915385,0.991667,22,2,240,400
148,36,238,0.991597,0.983333,2,4,240,400
148,54,243,0.983539,0.995833,4,1,240,400
148,51,126,0.904762,0.475000,12,126,240,400
149,49,242,0.971074,0.979167,7,5,240,400
149,72,215,0.948837,0.850000,11,36,240,400
149,65,245,0.938776,0.958333,15,10,240,400
149,34,246,0.951220,0.975000,12,6,240,400
149,6,236,0.995763,0.979167,1,5,240,400
149,64,240,1.000000,1.000000,0,0,240,400
149,90,240,0.995833,0.995833,1,1,240,400
149,8,240,0.991667,0.991667,2,2,240,400
149,99,249,0.951807,0.987500,12,3,240,400
149,88,240,1.000000,1.000000,0,0,240,400
150,7,242,0.983471,0.991667,4,2,240,400
150,72,200,0.945000,0.787500,11,51,240,400
150,50,259,0.918919,0.991667,21,2,240,400
150,78,259,0.922780,0.995833,20,1,240,400
150,99,242,0.966942,0.975000,8,6,240,400
150,95,248,0.959677,0.991667,10,2,240,400
150,41,228,0.986842,0.937500,3,15,240,400
150,91,229,0.965066,0.920833,8,19,240,400
150,30,218,0.944954,0.858333,12,34,240,400
150,69,238,0.928571,0.920833,17,19,240,400
151,96,240,0.987500,0.987500,3,3,240,400
151,27,255,0.937255,0.995833,16,1,240,400
151,63,239,0.979079,0.975000,5,6,240,400
151,20,233,0.978541,0.950000,5,12,240,400
151,16,241,0.962656,0.966667,9,8,240,400
151,56,242,0.971074,0.979167,7,5,240,400
151,82,241,0.983402,0.987500,4,3,240,400
151,45,237,0.962025,0.950000,9,12,240,400
151,41,234,0.982906,0.958333,4,10,240,400
151,62,239,0.991632,0.987500,2,3,240,400
152,21,238,0.962185,0.954167,9,11,240,400
152,53,238,0.987395,0.979167,3,5,240,400
152,68,239,0.983264,0.979167,4,5,240,400
152,14,238,0.987395,0.979167,3,5,240,400
152,52,235,1.000000,0.979167,0,5,240,400
152,4,236,0.995763,0.979167,1,5,240,400
152,71,240,0.987500,0.987500,3,3,240,400
152,41,235,0.982979,0.962500,4,9,240,400
152,16,236,0.983051,0.966667,4,8,240,400
152,7,241,0.979253,0.983333,5,4,240,400
153,27,221,0.945701,0.870833,12,31,240,400
153,52,235,1.000000,0.979167,0,5,240,400
153,64,240,1.000000,1.000000,0,0,240,400
153,94,240,0.987500,0.987500,3,3,240,400
153,60,240,1.000000,1.000000,0,0,240,400
153,32,233,0.991416,0.962500,2,9,240,400
153,36,240,0.983333,0.983333,4,4,240,400
153,0,240,1.000000,1.000000,0,0,240,400
153,99,245,0.963265,0.983333,9,4,240,400
153,18,232,0.974138,0.941667,6,14,240,400
154,71,239,0.987448,0.983333,3,4,240,400
154,33,238,0.966387,0.958333,8,10,240,400
154,48,247,0.955466,0.983333,11,4,240,400
154,1,240,0.987500,0.987500,3,3,240,400
154,36,238,0.987395,0.979167,3,5,240,400
154,30,250,0.956000,0.995833,11,1,240,400
154,20,238,0.983193,0.975000,4,6,240,400
154,54,243,0.983539,0.995833,4,1,240,400
154,89,240,0.975000,0.975000,6,6,240,400
154,59,239,0.983264,0.979167,4,5,240,400
155,72,255,0.929412,0.987500,18,3,240,400
155,81,225,0.982222,0.920833,4,19,240,400
155,73,241,0.983402,0.987500,4,3,240,400
155,99,243,0.971193,0.983333,7,4,240,400
155,4,237,0.995781,0.983333,1,4,240,400
155,76,240,0.987500,0.987500,3,3,240,400
155,96,241,0.995851,1.000000,1,0,240,400
155,92,241,0.987552,0.991667,3,2,240,400
155,20,237,0.987342,0.975000,3,6,240,400
155,18,230,0.978261,0.937500,5,15,240,400
156,43,239,0.991632,0.987500,2,3,240,400
156,97,226,0.951327,0.895833,11,25,240,400
156,15,254,0.940945,0.995833,15,1,240,400
156,29,240,1.000000,1.000000,0,0,240,400
156,40,253,0.928854,0.979167,18,5,240,400
156,28,232,0.965517,0.933333,8,16,240,400
156,30,244,0.950820,0.966667,12,8,240,400
156,52,234,1.000000,0.975000,0,6,240,400
156,36,239,0.991632,0.987500,2,3,240,400
156,51,126,0.904762,0.475000,12,126,240,400
157,44,242,0.979339,0.987500,5,3,240,400
157,74,240,1.000000,1.000000,0,0,240,400
157,63,244,0.967213,0.983333,8,4,240,400
157,98,234,0.978632,0.954167,5,11,240,400
157,72,246,0.939024,0.962500,15,9,240,400
157,23,245,0.971429,0.991667,7,2,240,400
157,30,246,0.963415,0.987500,9,3,240,400
157,47,239,0.987448,0.983333,3,4,240,400
