epoch,client_id,fedrn_clean_count,net2_clean_count,final_clean_count,fedrn_only_clean_count,net2_only_clean_count,both_clean_count,fedrn_only_precision,net2_only_precision,both_precision,fedrn_precision,net2_precision,final_precision,fedrn_recall,net2_recall,final_recall
201,12,293,301,295,0,8,293,0.000000,0.750000,0.993174,0.993174,0.986711,0.993220,0.970000,0.990000,0.976667
201,54,300,301,300,0,1,300,0.000000,1.000000,0.996667,0.996667,0.996678,0.996667,0.996667,1.000000,0.996667
201,96,301,300,300,1,0,300,0.000000,0.000000,0.993333,0.990033,0.993333,0.993333,0.993333,0.993333,0.993333
201,30,302,316,306,0,14,302,0.000000,0.571429,0.966887,0.966887,0.949367,0.967320,0.973333,1.000000,0.986667
201,21,314,314,314,8,8,306,0.250000,0.500000,0.960784,0.942675,0.949045,0.952229,0.986667,0.993333,0.996667
202,88,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
202,16,292,296,292,0,4,292,0.000000,0.750000,0.989726,0.989726,0.986486,0.989726,0.963333,0.973333,0.963333
202,91,298,314,300,0,16,298,0.000000,0.375000,0.986577,0.986577,0.955414,0.983333,0.980000,1.000000,0.983333
202,56,297,300,298,1,4,296,1.000000,1.000000,0.986486,0.986532,0.986667,0.986577,0.976667,0.986667,0.980000
202,17,279,313,302,0,34,279,0.000000,0.705882,0.974910,0.974910,0.945687,0.966887,0.906667,0.986667,0.973333
202,33,302,316,305,0,14,302,0.000000,0.428571,0.973510,0.973510,0.949367,0.973770,0.980000,1.000000,0.990000
202,38,308,304,309,5,1,303,1.000000,1.000000,0.950495,0.951299,0.950658,0.951456,0.976667,0.963333,0.980000
202,32,296,302,296,0,6,296,0.000000,0.666667,0.989865,0.989865,0.983444,0.989865,0.976667,0.990000,0.976667
202,26,283,307,301,2,26,281,0.000000,0.884615,0.982206,0.975265,0.973941,0.980066,0.920000,0.996667,0.983333
202,75,299,302,299,0,3,299,0.000000,1.000000,0.986622,0.986622,0.986755,0.986622,0.983333,0.993333,0.983333
203,30,304,308,305,3,7,301,1.000000,0.428571,0.973422,0.973684,0.961039,0.970492,0.986667,0.986667,0.986667
203,82,297,300,297,1,4,296,1.000000,0.250000,0.993243,0.993266,0.983333,0.993266,0.983333,0.983333,0.983333
203,75,297,299,300,3,5,294,1.000000,0.800000,0.993197,0.993266,0.989967,0.990000,0.983333,0.986667,0.990000
203,33,302,314,307,1,13,301,0.000000,0.615385,0.970100,0.966887,0.955414,0.957655,0.973333,1.000000,0.980000
203,72,325,328,325,0,3,325,0.000000,0.000000,0.923077,0.923077,0.914634,0.923077,1.000000,1.000000,1.000000
203,40,325,325,324,2,2,323,0.000000,0.500000,0.925697,0.920000,0.923077,0.925926,0.996667,1.000000,1.000000
203,38,307,318,308,0,11,307,0.000000,0.363636,0.960912,0.960912,0.940252,0.957792,0.983333,0.996667,0.983333
203,15,295,318,302,0,23,295,0.000000,0.434783,0.983051,0.983051,0.943396,0.976821,0.966667,1.000000,0.983333
203,41,299,301,299,2,4,297,1.000000,0.250000,0.986532,0.986622,0.976744,0.983278,0.983333,0.980000,0.980000
203,59,297,297,296,2,2,295,0.500000,1.000000,0.986441,0.983165,0.986532,0.986486,0.973333,0.976667,0.973333
204,68,296,299,297,1,4,295,1.000000,1.000000,0.989831,0.989865,0.989967,0.989899,0.976667,0.986667,0.980000
204,98,302,316,306,0,14,302,0.000000,0.428571,0.973510,0.973510,0.949367,0.967320,0.980000,1.000000,0.986667
204,12,297,303,298,1,7,296,1.000000,0.285714,0.996622,0.996633,0.980198,0.993289,0.986667,0.990000,0.986667
204,75,296,298,298,1,3,295,1.000000,0.666667,0.993220,0.993243,0.989933,0.989933,0.980000,0.983333,0.983333
204,20,302,305,302,1,4,301,1.000000,1.000000,0.956811,0.956954,0.957377,0.956954,0.963333,0.973333,0.963333
204,72,324,327,324,0,3,324,0.000000,0.000000,0.925926,0.925926,0.917431,0.925926,1.000000,1.000000,1.000000
204,47,292,296,293,0,4,292,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.973333,0.986667,0.976667
204,5,297,297,297,0,0,297,0.000000,0.000000,0.993266,0.993266,0.993266,0.993266,0.983333,0.983333,0.983333
204,89,297,299,299,2,4,295,0.000000,1.000000,0.983051,0.976431,0.983278,0.976589,0.966667,0.980000,0.973333
204,77,299,301,299,2,4,297,1.000000,0.250000,0.993266,0.993311,0.983389,0.993311,0.990000,0.986667,0.990000
205,35,300,310,307,1,11,299,1.000000,0.636364,0.976589,0.976667,0.964516,0.967427,0.976667,0.996667,0.990000
205,17,297,314,304,0,17,297,0.000000,0.470588,0.979798,0.979798,0.952229,0.970395,0.970000,0.996667,0.983333
205,23,297,298,297,1,2,296,1.000000,1.000000,0.993243,0.993266,0.993289,0.993266,0.983333,0.986667,0.983333
205,81,159,159,159,0,0,159,0.000000,0.000000,0.943396,0.943396,0.943396,0.943396,0.500000,0.500000,0.500000
205,98,303,307,304,1,5,302,0.000000,0.600000,0.966887,0.963696,0.960912,0.963816,0.973333,0.983333,0.976667
205,44,305,323,308,0,18,305,0.000000,0.277778,0.967213,0.967213,0.928793,0.964286,0.983333,1.000000,0.990000
205,70,296,298,298,0,2,296,0.000000,1.000000,0.993243,0.993243,0.993289,0.993289,0.980000,0.986667,0.986667
205,60,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
205,2,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
205,82,298,300,298,2,4,296,1.000000,0.250000,0.993243,0.993289,0.983333,0.993289,0.986667,0.983333,0.986667
206,38,308,318,313,0,10,308,0.000000,0.300000,0.961039,0.961039,0.940252,0.952077,0.986667,0.996667,0.993333
206,12,293,304,297,1,12,292,1.000000,0.500000,0.996575,0.996587,0.976974,0.993266,0.973333,0.990000,0.983333
206,76,298,298,298,0,0,298,0.000000,0.000000,0.996644,0.996644,0.996644,0.996644,0.990000,0.990000,0.990000
206,5,295,300,299,0,5,295,0.000000,0.600000,0.993220,0.993220,0.986667,0.989967,0.976667,0.986667,0.986667
206,83,293,296,297,2,5,291,0.500000,0.800000,1.000000,0.996587,0.996622,0.993266,0.973333,0.983333,0.983333
206,56,301,301,302,3,3,298,1.000000,0.666667,0.986577,0.986711,0.983389,0.986755,0.990000,0.986667,0.993333
206,2,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
206,71,300,303,304,1,4,299,1.000000,1.000000,0.983278,0.983333,0.983498,0.983553,0.983333,0.993333,0.996667
206,33,306,312,307,0,6,306,0.000000,0.666667,0.967320,0.967320,0.961538,0.967427,0.986667,1.000000,0.990000
206,69,320,323,320,0,3,320,0.000000,0.333333,0.934375,0.934375,0.928793,0.934375,0.996667,1.000000,0.996667
207,26,295,317,298,0,22,295,0.000000,0.363636,0.989831,0.989831,0.946372,0.986577,0.973333,1.000000,0.980000
207,43,294,294,296,4,4,290,0.750000,0.750000,0.993103,0.989796,0.989796,0.993243,0.970000,0.970000,0.980000
207,2,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
207,4,299,301,299,0,2,299,0.000000,1.000000,0.989967,0.989967,0.990033,0.989967,0.986667,0.993333,0.986667
207,17,295,317,297,0,22,295,0.000000,0.636364,0.966102,0.966102,0.943218,0.966330,0.950000,0.996667,0.956667
207,44,302,323,309,0,21,302,0.000000,0.285714,0.973510,0.973510,0.928793,0.964401,0.980000,1.000000,0.993333
207,29,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
207,23,298,300,299,1,3,297,0.000000,0.666667,0.993266,0.989933,0.990000,0.989967,0.983333,0.990000,0.986667
207,72,322,328,324,1,7,321,0.000000,0.142857,0.931464,0.928571,0.914634,0.925926,0.996667,1.000000,1.000000
207,91,297,313,301,0,16,297,0.000000,0.437500,0.983165,0.983165,0.955272,0.980066,0.973333,0.996667,0.983333
208,88,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
208,60,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
208,86,298,298,298,0,0,298,0.000000,0.000000,0.993289,0.993289,0.993289,0.993289,0.986667,0.986667,0.986667
208,29,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
208,59,300,302,300,0,2,300,0.000000,0.500000,0.983333,0.983333,0.980132,0.983333,0.983333,0.986667,0.983333
208,81,158,158,158,0,0,158,0.000000,0.000000,0.943038,0.943038,0.943038,0.943038,0.496667,0.496667,0.496667
208,37,302,310,302,1,9,301,0.000000,0.666667,0.970100,0.966887,0.961290,0.966887,0.973333,0.993333,0.973333
208,13,295,297,296,1,3,294,1.000000,1.000000,0.996599,0.996610,0.996633,0.996622,0.980000,0.986667,0.983333
208,33,306,312,310,2,8,304,0.500000,0.625000,0.967105,0.964052,0.958333,0.958065,0.983333,0.996667,0.990000
208,82,296,301,298,0,5,296,0.000000,0.600000,0.993243,0.993243,0.986711,0.993289,0.980000,0.990000,0.986667
209,1,297,302,298,0,5,297,0.000000,0.200000,0.996633,0.996633,0.983444,0.993289,0.986667,0.990000,0.986667
209,3,298,298,299,1,1,297,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.993333,0.993333,0.996667
209,26,298,314,301,0,16,298,0.000000,0.187500,0.996644,0.996644,0.955414,0.990033,0.990000,1.000000,0.993333
209,24,299,317,305,0,18,299,0.000000,0.666667,0.959866,0.959866,0.943218,0.950820,0.956667,0.996667,0.966667
209,50,311,322,311,0,11,311,0.000000,0.545455,0.945338,0.945338,0.931677,0.945338,0.980000,1.000000,0.980000
209,42,300,299,299,1,0,299,0.000000,0.000000,0.993311,0.990000,0.993311,0.993311,0.990000,0.990000,0.990000
209,23,297,303,300,0,6,297,0.000000,0.666667,0.989899,0.989899,0.983498,0.986667,0.980000,0.993333,0.986667
209,43,295,294,295,1,0,294,1.000000,0.000000,0.996599,0.996610,0.996599,0.996610,0.980000,0.976667,0.980000
209,30,302,315,305,0,13,302,0.000000,0.615385,0.966887,0.966887,0.952381,0.967213,0.973333,1.000000,0.983333
209,0,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
210,24,306,310,307,0,4,306,0.000000,1.000000,0.950980,0.950980,0.951613,0.951140,0.970000,0.983333,0.973333
210,8,297,299,297,0,2,297,0.000000,1.000000,0.996633,0.996633,0.996656,0.996633,0.986667,0.993333,0.986667
210,16,292,295,295,2,5,290,1.000000,0.800000,0.993103,0.993151,0.989831,0.989831,0.966667,0.973333,0.973333
210,38,307,320,309,0,13,307,0.000000,0.461538,0.957655,0.957655,0.937500,0.951456,0.980000,1.000000,0.980000
210,14,302,305,302,0,3,302,0.000000,0.666667,0.986755,0.986755,0.983607,0.986755,0.993333,1.000000,0.993333
210,88,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
210,29,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
210,68,296,300,298,2,6,294,0.000000,1.000000,0.996599,0.989865,0.996667,0.989933,0.976667,0.996667,0.983333
210,82,297,299,298,1,3,296,1.000000,0.333333,0.993243,0.993266,0.986622,0.989933,0.983333,0.983333,0.983333
210,53,304,302,304,3,1,301,0.666667,1.000000,0.983389,0.980263,0.983444,0.980263,0.993333,0.990000,0.993333
211,79,308,320,311,0,12,308,0.000000,0.500000,0.954545,0.954545,0.937500,0.954984,0.980000,1.000000,0.990000
211,49,297,314,303,1,18,296,0.000000,0.666667,0.969595,0.966330,0.952229,0.960396,0.956667,0.996667,0.970000
211,60,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
211,12,293,306,300,0,13,293,0.000000,0.615385,0.989761,0.989761,0.973856,0.990000,0.966667,0.993333,0.990000
211,24,304,309,309,3,8,301,1.000000,0.250000,0.966777,0.967105,0.948220,0.951456,0.980000,0.976667,0.980000
211,77,300,300,299,2,2,298,0.500000,1.000000,0.989933,0.986667,0.990000,0.989967,0.986667,0.990000,0.986667
211,90,297,298,297,0,1,297,0.000000,1.000000,0.993266,0.993266,0.993289,0.993266,0.983333,0.986667,0.983333
211,41,298,301,298,1,4,297,1.000000,0.250000,0.986532,0.986577,0.976744,0.986577,0.980000,0.980000,0.980000
211,61,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
211,75,299,300,300,1,2,298,0.000000,1.000000,0.989933,0.986622,0.990000,0.990000,0.983333,0.990000,0.990000
212,28,291,300,293,1,10,290,1.000000,0.800000,0.982759,0.982818,0.976667,0.982935,0.953333,0.976667,0.960000
212,41,298,298,298,1,1,297,1.000000,0.000000,0.986532,0.986577,0.983221,0.986577,0.980000,0.976667,0.980000
212,38,307,316,310,0,9,307,0.000000,0.666667,0.951140,0.951140,0.943038,0.951613,0.973333,0.993333,0.983333
212,77,290,296,301,12,18,278,0.750000,0.777778,0.996403,0.986207,0.983108,0.986711,0.953333,0.970000,0.990000
212,64,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
212,31,298,299,299,1,2,297,0.000000,0.500000,0.989899,0.986577,0.986622,0.983278,0.980000,0.983333,0.980000
212,37,292,316,302,2,26,290,1.000000,0.730769,0.951724,0.952055,0.933544,0.950331,0.926667,0.983333,0.956667
212,81,158,158,157,1,1,157,0.000000,1.000000,0.949045,0.943038,0.949367,0.949045,0.496667,0.500000,0.496667
212,20,300,306,304,4,10,296,1.000000,0.500000,0.976351,0.976667,0.960784,0.967105,0.976667,0.980000,0.980000
212,76,298,299,298,0,1,298,0.000000,1.000000,0.996644,0.996644,0.996656,0.996644,0.990000,0.993333,0.990000
213,60,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
213,98,299,309,302,2,12,297,1.000000,0.750000,0.962963,0.963211,0.954693,0.963576,0.960000,0.983333,0.970000
213,63,253,314,274,0,61,253,0.000000,0.918033,0.948617,0.948617,0.942675,0.952555,0.800000,0.986667,0.870000
213,67,300,301,301,1,2,299,0.000000,0.500000,0.986622,0.983333,0.983389,0.983389,0.983333,0.986667,0.986667
213,22,303,311,304,2,10,301,0.000000,0.200000,0.986711,0.980198,0.961415,0.980263,0.990000,0.996667,0.993333
213,87,292,307,297,0,15,292,0.000000,0.600000,0.976027,0.976027,0.957655,0.973064,0.950000,0.980000,0.963333
213,43,293,294,293,2,3,291,1.000000,0.666667,0.996564,0.996587,0.993197,0.996587,0.973333,0.973333,0.973333
213,52,298,299,298,0,1,298,0.000000,1.000000,0.993289,0.993289,0.993311,0.993289,0.986667,0.990000,0.986667
213,56,300,300,300,2,2,298,1.000000,0.500000,0.986577,0.986667,0.983333,0.986667,0.986667,0.983333,0.986667
213,68,296,298,296,2,4,294,0.500000,1.000000,0.993197,0.989865,0.993289,0.989865,0.976667,0.986667,0.976667
214,87,303,319,305,2,18,301,0.500000,0.388889,0.970100,0.966997,0.937304,0.957377,0.976667,0.996667,0.973333
214,24,308,313,312,0,5,308,0.000000,0.200000,0.957792,0.957792,0.945687,0.948718,0.983333,0.986667,0.986667
214,71,301,302,302,1,2,300,1.000000,0.000000,0.993333,0.993355,0.986755,0.990066,0.996667,0.993333,0.996667
214,34,287,312,301,4,29,283,0.250000,0.758621,0.978799,0.968641,0.958333,0.963455,0.926667,0.996667,0.966667
214,76,299,299,299,1,1,298,1.000000,1.000000,0.996644,0.996656,0.996656,0.996656,0.993333,0.993333,0.993333
214,90,297,299,299,1,3,296,1.000000,1.000000,0.993243,0.993266,0.993311,0.993311,0.983333,0.990000,0.990000
214,6,301,302,301,2,3,299,0.500000,0.333333,0.993311,0.990033,0.986755,0.990033,0.993333,0.993333,0.993333
214,70,298,296,298,2,0,296,1.000000,0.000000,0.993243,0.993289,0.993243,0.993289,0.986667,0.980000,0.986667
214,63,300,304,303,2,6,298,0.000000,0.666667,0.976510,0.970000,0.970395,0.966997,0.970000,0.983333,0.976667
214,38,306,315,310,2,11,304,0.000000,0.636364,0.960526,0.954248,0.949206,0.951613,0.973333,0.996667,0.983333
215,0,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
215,96,301,302,301,2,3,299,1.000000,0.333333,0.989967,0.990033,0.983444,0.990033,0.993333,0.990000,0.993333
215,59,299,301,302,2,4,297,1.000000,0.250000,0.989899,0.989967,0.980066,0.983444,0.986667,0.983333,0.990000
215,6,300,303,300,0,3,300,0.000000,0.666667,0.990000,0.990000,0.986799,0.990000,0.990000,0.996667,0.990000
215,39,272,203,273,71,2,201,0.985915,0.500000,0.940299,0.952206,0.935961,0.948718,0.863333,0.633333,0.863333
215,58,301,308,305,0,7,301,0.000000,0.714286,0.976744,0.976744,0.970779,0.973770,0.980000,0.996667,0.990000
215,34,159,160,159,0,1,159,0.000000,1.000000,0.911950,0.911950,0.912500,0.911950,0.483333,0.486667,0.483333
215,26,304,307,305,4,7,300,0.000000,0.285714,0.990000,0.976974,0.973941,0.980328,0.990000,0.996667,0.996667
215,41,293,302,295,0,9,293,0.000000,0.777778,0.986348,0.986348,0.980132,0.986441,0.963333,0.986667,0.970000
215,70,298,298,299,1,1,297,1.000000,1.000000,0.993266,0.993289,0.993289,0.993311,0.986667,0.986667,0.990000
216,44,305,322,310,0,17,305,0.000000,0.294118,0.967213,0.967213,0.931677,0.964516,0.983333,1.000000,0.996667
216,88,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
216,85,300,302,301,5,7,295,0.800000,0.142857,0.996610,0.993333,0.976821,0.993355,0.993333,0.983333,0.996667
216,53,302,305,302,1,4,301,1.000000,0.250000,0.990033,0.990066,0.980328,0.986755,0.996667,0.996667,0.993333
216,76,298,298,298,1,1,297,1.000000,0.000000,0.996633,0.996644,0.993289,0.996644,0.990000,0.986667,0.990000
216,66,299,301,300,5,7,294,1.000000,0.428571,0.993197,0.993311,0.980066,0.990000,0.990000,0.983333,0.990000
216,93,296,297,296,1,2,295,1.000000,1.000000,0.996610,0.996622,0.996633,0.996622,0.983333,0.986667,0.983333
216,4,299,301,299,0,2,299,0.000000,0.500000,0.989967,0.989967,0.986711,0.989967,0.986667,0.990000,0.986667
216,41,297,302,298,0,5,297,0.000000,0.800000,0.983165,0.983165,0.980132,0.983221,0.973333,0.986667,0.976667
216,9,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
217,55,295,323,300,0,28,295,0.000000,0.500000,0.966102,0.966102,0.925697,0.960000,0.950000,0.996667,0.960000
217,81,159,160,160,2,3,157,1.000000,0.333333,0.949045,0.949686,0.937500,0.943750,0.503333,0.500000,0.503333
217,40,324,325,325,0,1,324,0.000000,1.000000,0.922840,0.922840,0.923077,0.923077,0.996667,1.000000,1.000000
217,33,304,313,307,0,9,304,0.000000,0.222222,0.980263,0.980263,0.958466,0.973941,0.993333,1.000000,0.996667
217,0,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
217,99,315,323,319,1,9,314,0.000000,0.222222,0.949045,0.946032,0.928793,0.940439,0.993333,1.000000,1.000000
217,78,303,318,309,0,15,303,0.000000,0.666667,0.953795,0.953795,0.940252,0.954693,0.963333,0.996667,0.983333
217,68,298,300,299,0,2,298,0.000000,0.500000,0.989933,0.989933,0.986667,0.989967,0.983333,0.986667,0.986667
217,7,297,301,298,2,6,295,1.000000,0.666667,0.989831,0.989899,0.983389,0.989933,0.980000,0.986667,0.983333
217,10,300,318,307,1,19,299,0.000000,0.421053,0.973244,0.970000,0.940252,0.960912,0.970000,0.996667,0.983333
218,62,298,298,298,2,2,296,0.000000,1.000000,0.989865,0.983221,0.989933,0.986577,0.976667,0.983333,0.980000
218,68,296,300,297,0,4,296,0.000000,0.750000,0.989865,0.989865,0.986667,0.989899,0.976667,0.986667,0.980000
218,25,296,301,298,0,5,296,0.000000,0.800000,0.989865,0.989865,0.986711,0.989933,0.976667,0.990000,0.983333
218,89,304,310,304,1,7,303,0.000000,0.428571,0.976898,0.973684,0.964516,0.973684,0.986667,0.996667,0.986667
218,43,297,297,297,1,1,296,1.000000,1.000000,0.993243,0.993266,0.993266,0.993266,0.983333,0.983333,0.983333
218,6,297,301,301,1,5,296,0.000000,0.600000,1.000000,0.996633,0.993355,0.993355,0.986667,0.996667,0.996667
218,65,284,313,289,0,29,284,0.000000,0.655172,0.989437,0.989437,0.958466,0.986159,0.936667,1.000000,0.950000
218,73,295,299,295,1,5,294,1.000000,0.800000,0.996599,0.996610,0.993311,0.996610,0.980000,0.990000,0.980000
218,48,302,315,304,0,13,302,0.000000,0.461538,0.970199,0.970199,0.949206,0.970395,0.976667,0.996667,0.983333
218,83,294,300,296,2,8,292,0.000000,0.875000,1.000000,0.993197,0.996667,0.996622,0.973333,0.996667,0.983333
219,53,300,298,300,5,3,295,0.600000,0.666667,0.993220,0.986667,0.989933,0.990000,0.986667,0.983333,0.990000
219,60,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
219,94,298,298,298,1,1,297,1.000000,1.000000,0.993266,0.993289,0.993289,0.993289,0.986667,0.986667,0.986667
219,91,298,313,300,1,16,297,0.000000,0.687500,0.973064,0.969799,0.958466,0.970000,0.963333,1.000000,0.970000
219,49,300,313,303,0,13,300,0.000000,0.692308,0.966667,0.966667,0.955272,0.966997,0.966667,0.996667,0.976667
219,19,306,313,310,1,8,305,0.000000,0.625000,0.967213,0.964052,0.958466,0.961290,0.983333,1.000000,0.993333
219,70,297,297,298,1,1,296,1.000000,1.000000,0.993243,0.993266,0.993266,0.993289,0.983333,0.983333,0.986667
219,8,299,299,299,0,0,299,0.000000,0.000000,0.996656,0.996656,0.996656,0.996656,0.993333,0.993333,0.993333
219,36,300,301,300,0,1,300,0.000000,0.000000,0.993333,0.993333,0.990033,0.993333,0.993333,0.993333,0.993333
219,88,300,301,300,0,1,300,0.000000,0.000000,1.000000,1.000000,0.996678,1.000000,1.000000,1.000000,1.000000
220,4,299,300,299,0,1,299,0.000000,1.000000,0.989967,0.989967,0.990000,0.989967,0.986667,0.990000,0.986667
220,1,298,298,299,2,2,296,1.000000,0.000000,0.996622,0.996644,0.989933,0.993311,0.990000,0.983333,0.990000
220,12,294,303,301,0,9,294,0.000000,0.666667,0.993197,0.993197,0.983498,0.986711,0.973333,0.993333,0.990000
220,35,295,301,297,5,11,290,0.800000,0.636364,0.989655,0.986441,0.976744,0.983165,0.970000,0.980000,0.973333
220,2,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
220,65,291,306,296,0,15,291,0.000000,0.800000,0.979381,0.979381,0.970588,0.976351,0.950000,0.990000,0.963333
220,8,299,297,299,2,0,297,1.000000,0.000000,0.996633,0.996656,0.996633,0.996656,0.993333,0.986667,0.993333
220,71,300,302,300,0,2,300,0.000000,0.000000,0.990000,0.990000,0.983444,0.990000,0.990000,0.990000,0.990000
220,52,298,299,298,1,2,297,1.000000,0.500000,0.996633,0.996644,0.993311,0.996644,0.990000,0.990000,0.990000
220,61,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
221,8,298,298,298,1,1,297,1.000000,1.000000,0.996633,0.996644,0.996644,0.996644,0.990000,0.990000,0.990000
221,34,158,162,160,2,6,156,0.000000,0.500000,0.916667,0.905063,0.901235,0.900000,0.476667,0.486667,0.480000
221,87,303,316,306,0,13,303,0.000000,0.384615,0.966997,0.966997,0.943038,0.957516,0.976667,0.993333,0.976667
221,89,301,305,303,0,4,301,0.000000,0.500000,0.976744,0.976744,0.970492,0.973597,0.980000,0.986667,0.983333
221,51,310,322,313,0,12,310,0.000000,0.250000,0.958065,0.958065,0.931677,0.948882,0.990000,1.000000,0.990000
221,88,300,300,300,0,0,300,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
221,27,314,323,316,0,9,314,0.000000,0.333333,0.945860,0.945860,0.928793,0.943038,0.990000,1.000000,0.993333
221,69,314,323,320,0,9,314,0.000000,0.333333,0.945860,0.945860,0.928793,0.931250,0.990000,1.000000,0.993333
221,55,308,307,307,4,3,304,0.750000,0.333333,0.960526,0.957792,0.954397,0.954397,0.983333,0.976667,0.976667
221,82,298,299,299,1,2,297,1.000000,0.500000,0.989899,0.989933,0.986622,0.989967,0.983333,0.983333,0.986667
222,56,302,304,303,2,4,300,1.000000,0.500000,0.986667,0.986755,0.980263,0.986799,0.993333,0.993333,0.996667
222,26,296,304,300,3,11,293,0.666667,0.272727,0.996587,0.993243,0.970395,0.983333,0.980000,0.983333,0.983333
222,43,297,298,297,0,1,297,0.000000,0.000000,0.993266,0.993266,0.989933,0.993266,0.983333,0.983333,0.983333
222,52,299,300,299,0,1,299,0.000000,1.000000,0.993311,0.993311,0.993333,0.993311,0.990000,0.993333,0.990000
222,83,294,302,296,1,9,293,1.000000,0.555556,0.996587,0.996599,0.983444,0.993243,0.976667,0.990000,0.980000
